Month,DayOfYear,Variety,City,Package,Low Price,High Price,Price
9,267,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,15.0,15.0,13.5
9,267,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,18.0,18.0,16.2
10,274,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,18.0,18.0,16.2
10,274,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
10,281,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,15.0,15.0,13.5
10,281,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,18.0,18.0,16.2
10,281,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
10,281,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,18.5,15.975
10,288,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,15.0,15.0,13.5
10,288,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
10,288,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,18.5,15.975
10,295,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,15.0,15.0,13.5
10,295,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
10,295,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,17.0,18.5,15.975
10,302,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,15.0,15.0,13.5
10,302,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,16.0,17.0,14.85
10,302,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
9,258,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,18.0,18.0,16.2
9,265,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,16.0,16.0,14.399999999999999
9,265,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,18.0,18.0,16.2
9,265,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,16.0,16.0,14.399999999999999
9,272,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,16.0,16.0,14.399999999999999
9,272,PIE TYPE,BALTIMORE,1 1/9 bushel cartons,16.0,16.0,14.399999999999999
9,267,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
9,267,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
10,274,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
10,274,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
10,274,MINIATURE,BALTIMORE,1/2 bushel cartons,17.0,17.0,34.0
10,281,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
10,281,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,18.0,33.0
10,281,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,17.0,33.0
10,281,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,18.0,34.0
10,288,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
10,288,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
10,288,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,17.0,33.0
10,288,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,18.0,34.0
10,295,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
10,295,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
10,295,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,17.0,33.0
10,295,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,18.0,34.0
10,302,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,17.0,32.0
10,302,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
10,302,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,17.0,33.0
10,302,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,18.0,34.0
11,309,MINIATURE,BALTIMORE,1/2 bushel cartons,16.0,17.0,33.0
9,258,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
9,265,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
9,265,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
9,272,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
9,272,MINIATURE,BALTIMORE,1/2 bushel cartons,18.0,18.0,36.0
9,267,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
10,274,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
10,281,MINIATURE,BALTIMORE,1/2 bushel cartons,15.0,15.0,30.0
11,309,PIE TYPE,ATLANTA,1 1/9 bushel cartons,14.5,15.0,13.274999999999999
11,316,PIE TYPE,ATLANTA,1 1/9 bushel cartons,14.5,15.0,13.274999999999999
11,323,PIE TYPE,ATLANTA,1 1/9 bushel cartons,14.5,15.0,13.274999999999999
11,330,PIE TYPE,ATLANTA,1 1/9 bushel cartons,14.5,15.0,13.274999999999999
